0	นาดาล	NN	NCMN	B_CLS	B_SENT	N	-
1	ยอมรับ	VV	VACT	I_CLS	I_SENT	N	-
2	ความ	FX	FIXN	I_CLS	I_SENT	N	-
3	พ่ายแพ้	VV	VSTA	E_CLS	I_SENT	N	-
4	โดย	CC	FIXV	B_CLS	I_SENT	N	-
5	ดี	VV	VATT	I_CLS	I_SENT	N	-
6	_	PU	NCMN	I_CLS	I_SENT	N	-
7	ยก	VV	VACT	I_CLS	I_SENT	N	-
8	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
9	สุด	AV	ADVN	I_CLS	I_SENT	N	-
10	พลิกล็อก	VV	NCMN	I_CLS	I_SENT	N	-
11	_	PU	NCMN	I_CLS	I_SENT	N	-
12	นับ	VV	VACT	I_CLS	I_SENT	N	-
13	จาก	PS	RPRE	I_CLS	I_SENT	N	-
14	พีต	NN	NCMN	I_CLS	I_SENT	N	-
15	แพ้	VV	NCMN	E_CLS	I_SENT	N	-
16	ที่	CC	PREL	B_CLS	I_SENT	N	-
17	วิม	VV	VACT	I_CLS	I_SENT	N	-
18	ฯ	PU	PUNC	E_CLS	I_SENT	N	-

19	ราฟาเอล	NN	NCMN	B_CLS	B_SENT	N	-
20	_	PU	NCMN	I_CLS	I_SENT	N	-
21	นาดาล	NN	NCMN	I_CLS	I_SENT	N	-
22	_	PU	NCMN	I_CLS	I_SENT	N	-
23	ยอมรับ	VV	VACT	I_CLS	I_SENT	N	-
24	ความ	FX	FIXN	I_CLS	I_SENT	N	-
25	พ่ายแพ้	VV	VSTA	E_CLS	I_SENT	N	-
26	แต่	CC	JCRG	B_CLS	I_SENT	N	-
27	โดย	CC	JSBR	I_CLS	I_SENT	N	-
28	ดี	VV	VATT	I_CLS	I_SENT	N	-
29	_	PU	NCMN	I_CLS	I_SENT	N	-
30	บอก	VV	VACT	I_CLS	I_SENT	N	-
31	ไม่	NG	NEG	I_CLS	I_SENT	N	-
32	แพ้	VV	VSTA	I_CLS	I_SENT	N	-
33	วัน	NN	NCMN	I_CLS	I_SENT	N	-
34	นี้	AJ	DDAC	I_CLS	I_SENT	N	-
35	วัน	CL	NCMN	I_CLS	I_SENT	N	-
36	หนึ่ง	NU	DCNM	I_CLS	I_SENT	N	-
37	วัน	NN	NCMN	I_CLS	I_SENT	N	-
38	ใด	PR	DIAC	I_CLS	I_SENT	N	-
39	ใน	PS	RPRE	I_CLS	I_SENT	N	-
40	โอกาส	NN	NCMN	I_CLS	I_SENT	N	-
41	หน้า	AJ	NCMN	I_CLS	I_SENT	N	-
42	ก็	CC	JSBR	I_CLS	I_SENT	Comparison.Concession.Arg2-As-Denier	-
43	ต้อง	AX	XVMM	I_CLS	I_SENT	N	-
44	แพ้	VV	VACT	I_CLS	I_SENT	N	-
45	อยู่ดี	NN	NCMN	E_CLS	I_SENT	N	-

46	ขณะ	CC	NCMN	B_CLS	B_SENT	Comparison.Contrast	-
47	ที่	CC	PREL	I_CLS	I_SENT	N	-
48	โรบิน	NN	NCMN	I_CLS	I_SENT	N	-
49	_	PU	NCMN	I_CLS	I_SENT	N	-
50	โซเดอร์ลิง	NN	NCMN	I_CLS	I_SENT	N	-
51	_	PU	NCMN	I_CLS	I_SENT	N	-
52	ที่	CC	PREL	I_CLS	I_SENT	N	-
53	กลาย	VV	VACT	I_CLS	I_SENT	N	-
54	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
55	คน	CL	NCMN	I_CLS	I_SENT	N	-
56	แรก	NU	DONM	E_CLS	I_SENT	N	-
57	ที่	CC	PREL	B_CLS	I_SENT	N	-
58	ยัดเยียด	VV	VACT	I_CLS	I_SENT	N	-
59	ความ	FX	FIXN	I_CLS	I_SENT	N	-
60	ปราชัย	VV	VSTA	I_CLS	I_SENT	N	-
61	ที่	CC	PREL	I_CLS	I_SENT	N	-
62	โรลังด์	NN	NCMN	I_CLS	I_SENT	N	-
63	_	PU	NCMN	I_CLS	I_SENT	N	-
64	การ์โรส	NN	NCMN	I_CLS	I_SENT	N	-
65	_	PU	NCMN	I_CLS	I_SENT	N	-
66	ให้	AX	JSBR	I_CLS	I_SENT	N	-
67	กับ	PS	RPRE	I_CLS	I_SENT	N	-
68	หนุ่ม	NN	NCMN	I_CLS	I_SENT	N	-
69	มือ	NN	NCMN	I_CLS	I_SENT	N	-
70	หนึ่ง	NN	DCNM	I_CLS	I_SENT	N	-
71	ของ	PS	RPRE	I_CLS	I_SENT	N	-
72	โลก	NN	NCMN	I_CLS	I_SENT	N	-
73	จาก	PS	RPRE	I_CLS	I_SENT	N	-
74	สเปน	NN	NCMN	I_CLS	I_SENT	N	-
75	_	PU	NCMN	I_CLS	I_SENT	N	-
76	บอก	VV	VACT	I_CLS	I_SENT	N	-
77	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
78	ช่วง	NN	NCMN	I_CLS	I_SENT	N	-
79	เวลา	NN	NCMN	B_CLS	I_SENT	N	-
80	ที่	CC	PREL	I_CLS	I_SENT	N	-
81	พิเศษ	VV	VATT	I_CLS	I_SENT	N	-
82	ที่สุด	AV	ADVN	I_CLS	I_SENT	N	-
83	ใน	PS	RPRE	I_CLS	I_SENT	N	-
84	การ	FX	FIXN	I_CLS	I_SENT	N	-
85	เล่น	VV	VACT	I_CLS	I_SENT	N	-
86	อาชีพ	NN	NCMN	E_CLS	I_SENT	N	-
87	และ	CC	JCRG	B_CLS	I_SENT	Temporal.Asynchronous.Precedence	-
88	จะ	AX	XVBM	I_CLS	I_SENT	N	-
89	จำ	VV	VACT	I_CLS	I_SENT	N	-
90	แมตช์	NN	NCMN	I_CLS	I_SENT	N	-
91	นี้	AJ	DDAC	I_CLS	I_SENT	N	-
