0	รัฐ	NN	NCMN	B_CLS	B_SENT	N	-	-
1	สร้าง	VV	VACT	I_CLS	I_SENT	N	-	-
2	แฟลต	NN	NCMN	I_CLS	I_SENT	N	-	-
3	ดินแดง	NN	NCMN	I_CLS	I_SENT	N	-	-
4	_	PU	NCMN	I_CLS	I_SENT	N	-	-
5	40	NU	DCNM	I_CLS	I_SENT	N	-	-
6	_	PU	NCMN	I_CLS	I_SENT	N	-	-
7	ชั้น	CL	CNIT	I_CLS	I_SENT	N	-	-
8	รองรับ	VV	VACT	I_CLS	I_SENT	N	-	-
9	ขรก.	NN	NCMN	I_CLS	I_SENT	N	-	-
10	กทม.	NN	NCMN	I_CLS	I_SENT	N	-	-
11	-	PU	PUNC	I_CLS	I_SENT	N	-	-
12	แรงงาน	NN	NCMN	I_CLS	I_SENT	N	-	-
13	-	PU	PUNC	I_CLS	I_SENT	N	-	-
14	ผู้	FX	PPRS	I_CLS	I_SENT	N	-	-
15	เช่า	VV	VACT	I_CLS	I_SENT	N	-	-
16	เดิม	AV	NCMN	E_CLS	I_SENT	N	-	-

17	"	PU	PUNC	B_CLS	B_SENT	N	-	-
18	วัฒนา	NN	NCMN	I_CLS	I_SENT	N	-	-
19	"	PU	PUNC	I_CLS	I_SENT	N	-	-
20	เผย	VV	NCMN	I_CLS	I_SENT	N	-	-
21	คิด	VV	VACT	I_CLS	I_SENT	N	-	arg1[28]
22	ไว้	AX	XVAE	I_CLS	I_SENT	N	-	arg1[28]
23	อยู่แล้ว	AV	XVAE	I_CLS	I_SENT	N	-	arg1[28]
24	ต้อง	AX	XVMM	I_CLS	I_SENT	N	-	arg1[28]
25	ย้าย	VV	VACT	I_CLS	I_SENT	N	-	arg1[28]
26	แฟลต	NN	NCMN	I_CLS	I_SENT	N	-	arg1[28]
27	ดินแดง	NN	NCMN	E_CLS	I_SENT	N	-	arg1[28]
28	เพราะ	CC	JSBR	B_CLS	I_SENT	Contingency.Cause.Reason	-	-
29	สร้าง	VV	VACT	I_CLS	I_SENT	N	-	arg2[28]
30	มา	AV	XVAE	I_CLS	I_SENT	N	-	arg2[28]
31	นาน	VV	ADVN	E_CLS	I_SENT	N	-	arg2[28]
32	ถ้า	CC	JSBR	B_CLS	I_SENT	Contingency.Condition.Arg2-As-Cond	35	-
33	ประชาชน	NN	NCMN	I_CLS	I_SENT	N	-	arg2[32]
34	พร้อม	VV	VSTA	I_CLS	I_SENT	N	-	arg2[32]
35	ก็	CC	JSBR	I_CLS	I_SENT	Contingency.Condition.Arg2-As-Cond	-	-
36	ดำเนินการ	VV	VACT	I_CLS	I_SENT	N	-	arg1[32]
37	ได้	AX	XVAE	I_CLS	I_SENT	N	-	arg1[32]
38	เลย	PA	XVAE	E_CLS	I_SENT	N	-	arg1[32]

39	เสร็จ	VV	ADVN	B_CLS	B_SENT	N	-	-
40	แน่	AV	NCMN	I_CLS	I_SENT	N	-	-
41	ใน	PS	RPRE	I_CLS	I_SENT	N	-	-
42	_	PU	NCMN	I_CLS	I_SENT	N	-	-
43	2	NU	DCNM	I_CLS	I_SENT	N	-	-
44	_	PU	PUNC	I_CLS	I_SENT	N	-	-
45	ปี	CL	CMTR	I_CLS	I_SENT	N	-	-
46	ครึ่ง	NU	DCNM	I_CLS	I_SENT	N	-	-
47	คุย	VV	CNIT	I_CLS	I_SENT	N	-	-
48	ไม่	NG	NEG	I_CLS	I_SENT	N	-	-
49	ต้อง	AX	XVMM	I_CLS	I_SENT	N	-	-
50	ใช้	VV	VACT	I_CLS	I_SENT	N	-	-
51	งบ	NN	NCMN	I_CLS	I_SENT	N	-	-
52	รัฐ	NN	NCMN	I_CLS	I_SENT	N	-	-
53	ให้	VV	JSBR	I_CLS	I_SENT	N	-	-
54	สิทธิ	NN	NCMN	I_CLS	I_SENT	N	-	-
55	เจ้าของ	NN	NCMN	I_CLS	I_SENT	N	-	-
56	-	PU	PUNC	I_CLS	I_SENT	N	-	-
57	ผู้	FX	PPRS	I_CLS	I_SENT	N	-	-
58	เช่า	VV	VACT	I_CLS	I_SENT	N	-	-
